,network,id,contract,address,amount,createdAt,dao
40,mainnet,0x054f2567eb6da8f56b15faa9dff61ea02f39f7404dc9aeef5e8f01a14c2bf6a7,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,20862398845085283378,1570962933,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
41,mainnet,0x055b47c3cd2226a2afd10ff735251664fa86cbcbdb0c524977dcb5dd2aed3416,0x9bcc45cba43cf699289fcc0f72e5095fa53bffee,0x7adc01bc066a03ca366eb7ea93ea9cfc0e2f1321,46913273321281714061,1586529265,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7
42,mainnet,0x055d8564d570e7764c3d51f4b8327fdf626fcdf83dd78a191b7db494653092ff,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xb1b7586656116d546033e3baff69bfcd6592225e,5583574202433536000,1556200520,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
43,mainnet,0x05837905a5c1c02c3f1e2f51f1ba86a1c68e71ffbf070055691a5abd0d50cb34,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x8de962fdc6521a426389aad89e1c067c8f816004,5529600000000000000,1563890239,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
44,mainnet,0x0593585d731190384d8f6eaedbe83f72c7fa7a053c429fef1e373af9604975e9,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x79d3544bbe7821f2be4bd745d3df1f14ed211c30,17081977162270919976,1583488135,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
45,mainnet,0x0594e9dab7f56faa7a6c1a3da919cfa075ef03a5d33d4cb797a14df5fc2dd62f,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,23990761893379357296,1572080387,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
46,mainnet,0x05afbf65792b11a4419278a809ed66085d2725f726df6a8be5ea567fb32017a0,0x83292075bb0aa563d082040126ff5879dfdd1f8a,0x50589344709e59885ac585a525c46a8979041177,209424433762646571231,1573655935,0x440583455bcd85ab2bd429c015d3aabcae135f0a
47,mainnet,0x05c323d80cd19513a8b2f0b4f4f03c5271019309e39f58f976b9dfe27e5657f6,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x73db6408abbea97c5db8a2234c4027c315094936,29936000000000000000,1570089443,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
48,mainnet,0x05ce5fc641885076f48e5ecb558a2fa3e7dd7221cc072c6671a1c1c821697e22,0x7a927a93f221976aae26d5d077477307170f0b7c,0x3efd3391a0601eaa093647f911c653d77c11e3fd,6141307705474526738,1571659398,0x519b70055af55a007110b4ff99b0ea33071c720a
49,mainnet,0x05ebcb6f86d2c362575df4f3aedd31827ed75571dfda68c51b74cbe59dd026c2,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x6ac0a885ed84f4a2d062c60fb7daaf504fc8c47f,13588339815175638041,1561188436,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
50,mainnet,0x06071449930917dc1bb9b95fd9625c7adab41550ca126ce86685cc42a1acf0b9,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x50589344709e59885ac585a525c46a8979041177,16493580593086662102,1563456405,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
51,mainnet,0x0610ce0dc545aa456656a309f4a5c0334e436f9d79463879d3c6a460decc848d,0x7a927a93f221976aae26d5d077477307170f0b7c,0x58b753f0c417494226af608b63e80028255cbc64,20040000000000000000,1606922630,0x519b70055af55a007110b4ff99b0ea33071c720a
52,mainnet,0x06224eff7a9c482534ed94e014a648a6514aefc6a98f378025f52922f94d8a23,0x7a927a93f221976aae26d5d077477307170f0b7c,0x08eec580ad41e9994599bad7d2a74a9874a2852c,3460092188076806324483,1666791107,0x519b70055af55a007110b4ff99b0ea33071c720a
