,network,id,createdAt,molochAddress,memberAddress,shares,loot
37,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x7f4c4b0f51c17e72248b2bcef176e7649c187e7b-rage-9952511,1587963634,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x7f4c4b0f51c17e72248b2bcef176e7649c187e7b,69,0
38,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x818ff73a5d881c27a945be944973156c01141232-rage-9280009,1579016247,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x818ff73a5d881c27a945be944973156c01141232,6,0
39,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x818ff73a5d881c27a945be944973156c01141232-rage-9966428,1588149961,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x818ff73a5d881c27a945be944973156c01141232,7,0
40,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x82a8439ba037f88bc73c4ccf55292e158a67f125-rage-10418058,1594199941,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x82a8439ba037f88bc73c4ccf55292e158a67f125,5,0
41,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x82a8439ba037f88bc73c4ccf55292e158a67f125-rage-9172804,1577485378,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x82a8439ba037f88bc73c4ccf55292e158a67f125,5,0
42,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x82a8439ba037f88bc73c4ccf55292e158a67f125-rage-9172819,1577485499,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x82a8439ba037f88bc73c4ccf55292e158a67f125,40,0
43,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88-rage-10370933,1593570578,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,5,0
44,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88-rage-10435408,1594433494,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,20,0
45,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88-rage-10435493,1594434471,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,5,0
46,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88-rage-10550482,1595972351,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,28,0
47,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88-rage-10660054,1597433453,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,6,0
48,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88-rage-9222241,1578251854,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,1,0
49,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88-rage-9254381,1578676860,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,49,0
50,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x882651817bc443fabc95c7cc9124367082470d66-rage-9374572,1580268059,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x882651817bc443fabc95c7cc9124367082470d66,1,0
51,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x882651817bc443fabc95c7cc9124367082470d66-rage-9374578,1580268139,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x882651817bc443fabc95c7cc9124367082470d66,8,0
52,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x882651817bc443fabc95c7cc9124367082470d66-rage-9593782,1583180114,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x882651817bc443fabc95c7cc9124367082470d66,1,0
53,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x8b3765eda5207fb21690874b722ae276b96260e0-rage-10045038,1589201596,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x8b3765eda5207fb21690874b722ae276b96260e0,17,0
54,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x8b3765eda5207fb21690874b722ae276b96260e0-rage-9343396,1579854113,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x8b3765eda5207fb21690874b722ae276b96260e0,22,0
55,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x8b3765eda5207fb21690874b722ae276b96260e0-rage-9598607,1583244037,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x8b3765eda5207fb21690874b722ae276b96260e0,13,0
56,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x91c9bc455aadb2d6419be6b42ae08e1dc2b406bb-rage-10001064,1588613075,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x91c9bc455aadb2d6419be6b42ae08e1dc2b406bb,1,0
57,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x91c9bc455aadb2d6419be6b42ae08e1dc2b406bb-rage-8934326,1573761775,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x91c9bc455aadb2d6419be6b42ae08e1dc2b406bb,9,0
58,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x9cc8b5311b2f4c4b2167cc26e55ac7d29738f7f8-rage-10695211,1597902084,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x9cc8b5311b2f4c4b2167cc26e55ac7d29738f7f8,4,0
59,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x9cc8b5311b2f4c4b2167cc26e55ac7d29738f7f8-rage-10849388,1599943607,0x0372f3696fa7dc99801f435fd6737e57818239f2,0x9cc8b5311b2f4c4b2167cc26e55ac7d29738f7f8,1000000000,0
