,network,id,version,summoner,summoningTime,createdAt,totalShares,guildBankAddress,totalLoot,molochAddress,name
3006,xdai,0xb0af468cdfad2bbc5fd99873cdb7252f3e7b2560,2.1,0xc2c93a56e3a6fe97927d238d12ceeb3a45d3dddb,1635216073,1635216073,0,,0,0xb0af468cdfad2bbc5fd99873cdb7252f3e7b2560,
3007,xdai,0xb0ebad090aa467e781d44627b0794a49f687bd0f,2.1,0x65bc72f5e5daefe930f1b468fc73ec96b0228956,1635210475,1635210475,2,,0,0xb0ebad090aa467e781d44627b0794a49f687bd0f,the blockbiter company
3008,xdai,0xb0f250097be99fa68cefa55ccc1b2426b28d2e47,2.1,0xd1629474d25a63b1018fcc965e1d218a00f6cbd3,1651380265,1651380265,4,,0,0xb0f250097be99fa68cefa55ccc1b2426b28d2e47,GIV Vault
3009,xdai,0xb14b36c2f846f25b6d5d7982e7099f00c55ce1c7,2.1,0x9494fc13537a1df38e61d41c457e4cd80c1b0791,1638543290,1638543290,1,,0,0xb14b36c2f846f25b6d5d7982e7099f00c55ce1c7,FooDao
3010,xdai,0xb152b115c94275b54a3f0b08c1aa1d21f32a659a,2.1,0x1c9e5aba9bce815ed3bb7d9455931b84c56d5114,1614807080,1614807080,1326,,1,0xb152b115c94275b54a3f0b08c1aa1d21f32a659a,MetaCartel xDai
3011,xdai,0xb190e42be72a65f20c2b7839746d74917b313e12,2.1,0x30573e58d2a7badcb827107c233675f75f0700b7,1668292175,1668292175,1,,0,0xb190e42be72a65f20c2b7839746d74917b313e12,
3012,xdai,0xb1b5188387b9c3ab883a145d2abc16a3f3db704a,2.1,0x0000ce08fa224696a819877070bf378e8b131acf,1619565825,1619565825,0,,0,0xb1b5188387b9c3ab883a145d2abc16a3f3db704a,oooooooooooooooooo
3013,xdai,0xb1b9d9632a0e671b85550d6f33deddb3cfa6f851,2.1,0x5ebda6c2ca3970911f46557a322ddd3d3a8718d3,1634312351,1634312351,1,,0,0xb1b9d9632a0e671b85550d6f33deddb3cfa6f851,
3014,xdai,0xb1db994484ad2058bb810b2e4e1f0e46d48876d3,2.1,0x9fc15abf8121b738697439d219668dc14ae2b8d1,1616319025,1616319025,1,,0,0xb1db994484ad2058bb810b2e4e1f0e46d48876d3,Taisen yuan
3015,xdai,0xb1ded7eabcf831f7968b6c72d4c830e4f785757d,2.2,0xf84d0120490145008c8aa3e1772bbac55f657c69,1662676975,1662676975,101,,203,0xb1ded7eabcf831f7968b6c72d4c830e4f785757d,
3016,xdai,0xb1f517d15ba2f4ecb50d011a6f9c258ca772bf95,2.1,0x1ceda87957b3b676f7609e042a965fa18b507b23,1637800620,1637800620,1,,0,0xb1f517d15ba2f4ecb50d011a6f9c258ca772bf95,Stream DAO
3017,xdai,0xb259505f75bfd58793464692a6ab7bc36656f2ae,2.1,0x224aba5d489675a7bd3ce07786fada466b46fa0f,1652115115,1652115115,1,,0,0xb259505f75bfd58793464692a6ab7bc36656f2ae,FDAO
3018,xdai,0xb2683ab237581545f2085ccce4d31935c4b505ca,2.1,0x7ce0f5951fb6c45edca22e4ac7d2f0c9d9353b76,1640277300,1640277300,1,,0,0xb2683ab237581545f2085ccce4d31935c4b505ca,
3019,xdai,0xb29f6de6102751951023554f2360ce239e48a9c5,2.1,0xaa7c9dab0c7787353da45a8c2ba2eb4ac9a1ac1b,1643496620,1643496620,10,,0,0xb29f6de6102751951023554f2360ce239e48a9c5,
3020,xdai,0xb2be55af4f77a02842b77021c0cbb5c1cdae01cc,2.1,0x424060738dc814b16c203650ba7e1ecffc7e504e,1621964095,1621964095,1,,0,0xb2be55af4f77a02842b77021c0cbb5c1cdae01cc,Test DAO
3021,xdai,0xb2e3ed9306c8d5c64d527f1ab5657c001a40b301,2.1,0xced608aa29bb92185d9b6340adcbfa263dae075b,1624289315,1624289315,1,,0,0xb2e3ed9306c8d5c64d527f1ab5657c001a40b301,Keep HAUS DAO
3022,xdai,0xb318881481326ded87a75f7536291cb1a2345a9e,2.1,0x3cb1b24838990ff9f0c38c21a61efccce08a3bfe,1638100940,1638100940,1,,0,0xb318881481326ded87a75f7536291cb1a2345a9e,Trusty
3023,xdai,0xb351e27bd8fb8129e8b613345e6cc633bbade004,2.1,0x625bba96cc5c0d6b506597609b64f1d3672d82dc,1651173985,1651173985,10,,0,0xb351e27bd8fb8129e8b613345e6cc633bbade004,seven helles
3024,xdai,0xb4a1ad839b1080f4ca5fa28b87b5de8e1990a99b,2.1,0x7e2f6e2f86089ae708425bca2e7bf43ad5ca486e,1617045620,1617045620,1,,0,0xb4a1ad839b1080f4ca5fa28b87b5de8e1990a99b,uberHAUS DAO
