,network,id,address,totalSupply,transferable,name,symbol,orgAddress,appAddress,lastUpdateAt
1568,mainnet,tokenAddress-0xaca2441077f3446c6b85226505747dcf767ca6d6,0xaca2441077f3446c6b85226505747dcf767ca6d6,1000002000000000000,True,BICRAcoin,BIC,0xbea05654e2779e863875dfc2ebba0636e9f2b999,0xba449db96c783bd73e07d59fef32282299cd8f46,1543267875
1569,mainnet,tokenAddress-0xaccde8211df377aa0929a384033d3775cc38dc96,0xaccde8211df377aa0929a384033d3775cc38dc96,200000000000000000000000,True,Weavemail,WVML,0xa067677ae044d455cc186a09d0d736349faf5a2e,0x43b91a3bd1e1a4e2dcb8b9d289ff962e257f58ae,1557498058
1570,mainnet,tokenAddress-0xacfb2b236497c8dcbe292490b43299155e44d250,0xacfb2b236497c8dcbe292490b43299155e44d250,2,False,CycleDAO,CYCLE,0x07221d7f06fefd706d6d86301aaea8ae7084edaa,0xcf7c5e9402bf7e7c5438ac1cfbea715d67ba71d9,1633301532
1571,mainnet,tokenAddress-0xad03473a02210fd53e3c44fbbda3e27f2314691a,0xad03473a02210fd53e3c44fbbda3e27f2314691a,1000000000000000000,True,Pegasi Alpha,PGA,0x1674278e5a0c39ea94c293880ee5ece9811aafb0,0xfdb020c348006214b6c20207673d4f484c92dd05,1574531296
1572,mainnet,tokenAddress-0xad0caa3060db9366ddbe820ff851fc41fc3016d1,0xad0caa3060db9366ddbe820ff851fc41fc3016d1,7672986000000000000000000,True,AVVPS,AVVPS,0xf9ed3c68fc981be98e6b88973e5f26bfd9a1d439,0xf2181cf84d395a4ac47cda658c724201db43598e,1569106214
1573,mainnet,tokenAddress-0xad32a8e6220741182940c5abf610bde99e737b2d,0xad32a8e6220741182940c5abf610bde99e737b2d,96902645555818352234110643,True,PieDAO DOUGH v2,DOUGH,0x0c188b183ff758500d1d18b432313d10e9f6b8a4,0x1114f572c29398de602c65f6f947c5151fcfa0f3,1686627047
1574,mainnet,tokenAddress-0xad48f53ff8fa9286ca19df57db92e35efb7e623b,0xad48f53ff8fa9286ca19df57db92e35efb7e623b,1000000000000000000,True,Fund,FND,0xf5835a0196f772f8f9f346dc6ce0c8b745a1a85b,0x02ceafcad20ad1156bd46d02c35c3b3c6a3ee299,1563507676
1575,mainnet,tokenAddress-0xad5cf8c48e78f73f19a4dc7cdb62982ab37becd2,0xad5cf8c48e78f73f19a4dc7cdb62982ab37becd2,1,False,lila,LILA,0x0d4386ad13c381dd9ef6f12d9e61fc938d380282,0x04e61c505927547bfa9ba45b870e7c5beafe58c4,1654143367
1576,mainnet,tokenAddress-0xad87506486214d091231fa520c910cc990c63dfd,0xad87506486214d091231fa520c910cc990c63dfd,3000000000000000000,True,Expenses,SPEND,0x1dc00a6b3e5ade5990cfb6f9f1fc29da60ced736,0xe66adf650a27cc2250a2f9802bf69620cd7816ed,1555949536
1577,mainnet,tokenAddress-0xad9d9198501e87502c0d03b232c96f08dca8bab9,0xad9d9198501e87502c0d03b232c96f08dca8bab9,1001000000000000000000000000,True,United Underground,UU,0x6d8190129b7b17a2303640781dc01c617665b13f,0x30b455c0ee02ba08e0671c9de5f02ed7119d8c4d,1588663400
1578,mainnet,tokenAddress-0xada84c784904dc0d473e8c991938a80e357f7959,0xada84c784904dc0d473e8c991938a80e357f7959,1111111111000000000000000000,True,AvalChain,AVCH,0x0bca089c69ca2445efd33b64e2ee8d25bf1c5c28,0x7214c925db7279d94d5a207ef50652a558a2638b,1628536303
1579,mainnet,tokenAddress-0xada953e74d9a2b5a369885a1db78bb55948ca83f,0xada953e74d9a2b5a369885a1db78bb55948ca83f,10000000000000000000,True,M Global,MG,0xa76bf5dab0b72b6028ac26d986da73d5d9dfea0c,0xb06e27d502d6a43d3fbf1e9587fa95563f8ceff2,1575517528
1580,mainnet,tokenAddress-0xaddc38bcd5155fd17b45b05a0731ad68a2f452de,0xaddc38bcd5155fd17b45b05a0731ad68a2f452de,1000000000000000000,True,Frame,FRAME,0xaa994f6d64cec1f1009fd1667d9ddd883947526c,0x6a0b004265f569fabf2f596ad83563b48fc8f9fd,1547358976
1581,mainnet,tokenAddress-0xadeae6915b987085f01ca6fda3ab4c2d3260a610,0xadeae6915b987085f01ca6fda3ab4c2d3260a610,5,False,myreality council,MRTC,0x54aca94e6b28d5dbf9679797da6a055b935ec5a1,0x13114e4475a0b2553f78ba9b66cc78d17b50f417,1613919999
1582,mainnet,tokenAddress-0xae09c4d0a5dd7daa6084883fe1773a7f9f3ff9c4,0xae09c4d0a5dd7daa6084883fe1773a7f9f3ff9c4,1000000000000000000000000,True,bamboo,BOO,0x4c5ddc0f9fa6203760bbf44cfb1bf2661c8e0c00,0xff8b81a1ec3c96f086d80b0b404b2d553ef2a0bf,1579389821
1583,mainnet,tokenAddress-0xae1cd7380e3e11916d9d22b8ba51b16644bd3d6c,0xae1cd7380e3e11916d9d22b8ba51b16644bd3d6c,3,False,BrightID Communications DAO,BCOM,0x279ddb39ea2af95acdd1f45e6dcbd84c121cb7a2,0x5750eee64da00111fba4e3c3e0fdff99edf08eb0,1587149448
1584,mainnet,tokenAddress-0xae2872c417b7680791e6be18920158f0b2833e89,0xae2872c417b7680791e6be18920158f0b2833e89,1,False,Tut LOK DAO,TUT,0xca1d601325c68a9fc7c1aedb220cef9ae88e7f4f,0x59cef446d6e1e5bab7fa63a2cd917a18087627e4,1663973999
1585,mainnet,tokenAddress-0xae3bc521eac79013937aaa8bc6d87c3b5fa17c9b,0xae3bc521eac79013937aaa8bc6d87c3b5fa17c9b,5000000000000000000,True,Murziki,MURZ,0x85c999dd7187d6f00a4f46373ea2b96c85c45595,0x23998d20ba7349d51559ed37feda661bd2608da9,1596545188
1586,mainnet,tokenAddress-0xae68e8aa08b5ef9526e9a3bf69e8418fb25649c6,0xae68e8aa08b5ef9526e9a3bf69e8418fb25649c6,2000000000000000000,True,Museum Planning ,MPT,0x84ba27e0fd35ef6bae860f01f6b6d83b0533bfe4,0x7d04d11222b7c46b5e65af054618b9a7169681a2,1669626515
1587,mainnet,tokenAddress-0xae884292fed1bc0acafe25c5703a5d6a978beb9c,0xae884292fed1bc0acafe25c5703a5d6a978beb9c,10000000000000000000000,True,Punkology,PUNK,0x04cd638d0e5611bfe531e25f41618b3c57be757c,0xa803ba2930df7d61203f351e7b47a0c0849a99bb,1596254958
1588,mainnet,tokenAddress-0xae8e6709b1fafc496eb54006bef759ed71279277,0xae8e6709b1fafc496eb54006bef759ed71279277,12000000000000000000,True,Shokunin Crafts,SHC,0x2bcfb97d5f4a833b380faf5f58cf34b6080b0197,0x7e929b9d8f7a88346cb38c0e688961644ed13c8d,1571566977
1589,mainnet,tokenAddress-0xae95bfda19451fb850c789ea5ff65f9b28f447d6,0xae95bfda19451fb850c789ea5ff65f9b28f447d6,10000000000000000000,False,FIAT,FIAT,0xfe83d8e6f17b9f5a84a2c69af53c486936e86beb,0xa406bfaab5690ec5d20181e37cfe2356b934f5e4,1586979171
1590,mainnet,tokenAddress-0xaea7603f1f82e2dda24c68259763359efabf334b,0xaea7603f1f82e2dda24c68259763359efabf334b,111000000000000000000,True,Medex,MDX,0xf6acfb22d2b923cf1c3ff53ab331cc6721f8ce76,0xb81d218a5173a28cc3ca0f466a391fcd3e4bf75a,1572536193
1591,mainnet,tokenAddress-0xaec1aaa12891c82268df17b9d73654e4ab96bdfe,0xaec1aaa12891c82268df17b9d73654e4ab96bdfe,2000000000000000000000000,False,AlphaGodModeToken,AGMT,0x1c2560532e49a7ae15bd333a5abb0146aa12f736,0x7d9c34a10d1cf220f7244f6e95085435170a004d,1594426363
1592,mainnet,tokenAddress-0xaec30431863f5e58689a89240c14a0b8d08d877d,0xaec30431863f5e58689a89240c14a0b8d08d877d,10000000000000000000000,False,oFriends Royalty Claim,OFR,0xd377ff67a73f9a86363e9d12679f6201c00e5a12,0x7096928cc30f9bdc4bc04d528b4b0db56a135cc5,1667594807
