,id,isForwarder,isUpgradeable,repoName,repoAddress,organizationId,network
15,0x004373e5ca8a8030e3f498ea85b08810a9f8f960,True,True,agent,0x52ac38791ef1561b172ca89d7115f178d058e57b,0xed575fe5fdf43cfe8a4fcdce572906a52250f2ac,mainnet
16,0x0046c3a8c9ee14b965fe9727828bf0d8d06cf59a,False,False,evm-script-registry,,0x0e02a3dac4bd1c5d44b53181685ec8484e68acc5,mainnet
17,0x004f8864d66ab04a7b1be351e99bda3757b8c8d5,False,True,acl,,0x93645b078823a1b8abba2839b3ec90bbfcd770da,mainnet
18,0x00527e403c0a73e74376dc0c4b2e5f724a8b2c92,False,True,token-request,0xe5cbf0786494680ef35fc6e51b08cbb4f4c638ae,0x3f72b597dce0abf4957d41c7d1f2f99416c090b7,mainnet
19,0x005674a521b5092cfc07a26e772a251ca51e556e,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0xf72df20b382eba8a0c71215aa30e2ad6719bbdda,mainnet
20,0x00574a980ded4033c19c3d2b8fd6cf757ce8ba14,True,True,token-manager,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,0xbf6f3cd594c6412a8131e8e8a01f2f19da61ab6c,mainnet
21,0x00599976baea5511ca45268d8c32bc17ad07be75,True,True,agent,0x52ac38791ef1561b172ca89d7115f178d058e57b,0x469b8b9dbc13622f594436bcc06a7079f2cc8c41,mainnet
22,0x005aa691246cbaae1ace1f620f1e9b9bd0d24f33,True,True,voting,0x12ccf2830f54b865f6d97aa0bc18897baec02185,0x8fa64f19ab40ef70de272d132704b1551e6075fa,mainnet
23,0x005ca4f1493f451c1588186c570a434ec38e718d,True,True,agent,0x52ac38791ef1561b172ca89d7115f178d058e57b,0x5aad137d8f7d2dc6e1b2548c059b1483360bcc6a,mainnet
24,0x005d87adbce58c4054136ed7baf0d33033c4a690,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0xa1a10c90040689e441d35848c26ae1fde5c69f6c,mainnet
25,0x00627041f6c3e51abf54a6c126cd1ac14c236479,False,True,acl,,0x4872ff7797913a3b690cf0342bc26c60bb9eddcb,mainnet
26,0x0062947e91d9930e104f746d37c88e13cd345553,False,True,finance,0x2dab32a4befc9cd6221796ece92e98137c13647a,0x7f7400f792d931a317d09eff54826b0eecd92fee,mainnet
27,0x00669df67e4827fcc0e48a1838a8d5ab79281909,True,True,agent,0x52ac38791ef1561b172ca89d7115f178d058e57b,0x79cf3e23eded0fc20992b79acb3b3ffb7c6799b4,mainnet
28,0x0068990f8910e502dd41eb71fbc506936ca100af,False,True,kernel,,0x0068990f8910e502dd41eb71fbc506936ca100af,mainnet
29,0x0069746143d8702ba16585384d97995f01125b9e,True,True,voting,0x12ccf2830f54b865f6d97aa0bc18897baec02185,0x3eedaae309be347342c9fba39ddbe5596c10b6c3,mainnet
30,0x006a54297894bb45c5ebd6167733a43aaa9aee8d,False,True,acl,,0xe65cd2f7276e8273d39fce4ca8f711b1f062168b,mainnet
31,0x00726159bcf6ae3454ae83f293a65e4830c19dfa,True,True,token-manager,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,0xed3b94155ae31735b9279f2452102514b39c79f4,mainnet
32,0x007424cdd0f8a275bb9e92372e38d7af416329c4,False,True,acl,,0x3304d980e116cfe8b3b998524f765ccefb90f610,mainnet
